tags,sentiment_score,rating,count
,-4.416666666666666e-05,3.216666666666667,120
"#bug,#gameplay,#negative",-0.4005,2.0,1
"#bug,#negative",-0.49954999999999994,2.0,2
"#bug,#payment,#negative",-0.4019,1.0,1
"#bug,#payment,#rewards,#positive",0.8381,2.0,1
"#bug,#positive",0.7853,1.0,1
"#difficulty,#negative",-0.10830000000000001,2.5,2
#feature-request,0.0,1.5,2
"#feature-request,#negative",-0.2058,2.0,3
"#feature-request,#performance,#positive",0.743,4.0,1
"#feature-request,#positive",0.4831,2.75,8
"#feature-request,#rewards,#positive",0.5407,1.0,1
"#fun,#feature-request,#positive",0.79435,3.0,2
"#fun,#gameplay,#feature-request,#positive",0.8453,4.0,1
"#fun,#gameplay,#payment,#positive",0.6924454545454546,3.5454545454545454,11
"#fun,#gameplay,#positive",0.7653357142857143,4.833333333333333,42
"#fun,#gameplay,#positive,#difficulty",0.7778666666666667,4.0,6
"#fun,#payment,#positive",0.6214125,4.0,8
"#fun,#payment,#rewards,#positive",0.733,3.5,2
"#fun,#performance,#positive",0.8764,5.0,1
"#fun,#performance,#rewards,#positive",0.6851,5.0,1
"#fun,#positive",0.6438395061728396,4.765432098765432,81
"#fun,#positive,#difficulty",0.822075,4.75,4
"#fun,#rewards,#positive",0.3999333333333333,3.3333333333333335,3
#gameplay,-0.00526,2.6,10
"#gameplay,#feature-request,#negative",-0.3826,1.0,1
"#gameplay,#feature-request,#positive",0.6989,5.0,5
"#gameplay,#feature-request,#rewards,#positive",0.58525,2.5,2
"#gameplay,#negative",-0.43674399999999997,1.88,25
"#gameplay,#payment",0.0,1.5,2
"#gameplay,#payment,#difficulty,#negative",-0.4201,1.0,1
"#gameplay,#payment,#negative",-0.7393,1.0,1
"#gameplay,#payment,#positive",0.5236277777777778,3.1666666666666665,18
"#gameplay,#payment,#positive,#negative",0.87695,1.0,2
"#gameplay,#payment,#rewards,#positive",0.6239428571428572,2.2857142857142856,7
"#gameplay,#performance,#positive",0.5374,3.8,5
"#gameplay,#performance,#rewards,#positive",0.7003,3.0,1
"#gameplay,#positive",0.5289981308411215,3.691588785046729,107
"#gameplay,#positive,#difficulty",0.7254499999999999,4.333333333333333,6
"#gameplay,#positive,#negative",-0.40169999999999995,2.0,2
"#gameplay,#rewards",-0.0258,1.0,1
"#gameplay,#rewards,#negative",-0.3651,2.25,4
"#gameplay,#rewards,#positive",0.706346153846154,2.769230769230769,13
"#gameplay,#rewards,#positive,#negative",-0.314075,2.25,4
